PY,JI,TI,AU,AB,C1,AU_CO,AU1_CO,AUc_CO,N_AU,AU_TW,FU_TW,RP,FU,FX,DE,DI,DT,ID,PU,SO,TC,VL,DB,AU_UN,AUc_UN,Group
1998.0,Chem. Ecol.,Metal concentration in oyster Crassostrea gigas and sediment in Annping mariculture ground Taiwan,Lee C;Wang T;Hsu C;Lay S,"This study was to assess the metal contamination in oyster tissue grown in the Ann-ping mariculture ground in Taiwan, The information generated from this work also revealed general metal pollution problem for Taiwan's oyster farmers. Oysters, Crassostrea gigas, and surficial sediments collected from ten locations in Ann-ping mariculture ground in Taiwan for metals concentration (Cu, Zn, Pd, Cd, Fe and Mn) were performed. Analytical results indicated that the yearly averaged oyster copper concentrations (μg g-1, wet weight) in oyster soft parts from Ann-ping increased from 21.3±4.1 in 1993; 24.1±6.8 in 1994: 36.8±11.9 in 1995 to 43.9±23.1μg g-1, wet weight, in the 1996 raising season. The mean oyster copper concentration reached a level of 50 μg g-1, wet weight, in December 1996. This increasing trend of metal concentration in oyster tissue indicates a potential pollution source which may pose a potential disaster as green oyster incidence, which occurred on the Charting coast in 1986, in Taiwan. Sediment samples in Ann-ping mariculture ground were also collected and examined. The seasonal variation of the copper concentration in surficial sediment from Ann-ping did not show an increasing trend as observed in oyster tissue.","Department of Marine Environment, National Sun Yat-sen University, Kaohsiung, Taiwan; Harbor Br. Oceanographic Institution, Florida, NY, United States",TAIWAN;USA,TAIWAN,TAIWAN,4,1.0,,"Lee, C.-L.; Department of Marine Environment, , Kaohsiung, Taiwan","Council of AgricultureCouncil of Agriculture, COA","The authors would like to thank the Council of Agriculture (COA) of the Republic of China for financially supporting this research under Contract Nos. COA 1994-S-2.9-F-05(4), 1995-S-2.9-F-02(4) and 1996- S-1. 10-F-03(3). Mr. Chia-Tzai Chou of the COA is also appreciated for his assistance. NA",Bio-monitoring;  Mariculture;  Metals;  Oyster;  Sediment,10.1080/02757549808037615,Article,,Taylor and Francis Ltd.,Chemistry and Ecology,0,14-15,scopus,NATIONAL SUN YAT-SEN UNIVERSITY;HARBOR BR. OCEANOGRAPHIC INSTITUTION,DEPARTMENT OF MARINE ENVIRONMENT,A
1998.0,Chem. Ecol.,Sedimentary pigments and organic matter in relation to benthic fauna in the TanShui estuary Taiwan,Chu K;Chiu Y;Yao N;Chen L,"The benthic ecological structure of the Tan-Shui estuary. Taiwan is changed due to long term effects of dumping of urban wastewater and of engineering actions. To monitor these changes, we sampled and analyzed benthos and sediment from 12 stations on the estuary. The composition of the dominant species of benthos varied seasonally, with molluscan and crustacean species having greater numbers and higher frequencies of occurrence than other species. The dominant taxa during winter were Nassarius sp. and Maldanidae at two stations. Analysis using Simpson's index and Shannon's index showed the benthic community varied more in coastal areas than in offshore areas. Physicochemical analysis showed that most of the Tan-Shui estuary consisted of sandy sediment. The variations in concentrations of organic carbon and total nitrogen at each station were small. Although the concentrations of chlorophyll-a and carotenoid at all stations were generally low, the two stations had the highest concentrations, and we concluded that the concentration of pigments in these sediments was related to the abundance of benthos. The community structure of the benthos reflected the characteristics of the sediments, and benthic species exhibited selection of and adaptation to specific sedimentary environments.","Department of Applied Mathematics, Chinese Culture University, Taiwan; Department of Biology, Chinese Culture University, Taiwan",TAIWAN;TAIWAN,TAIWAN,,4,1.0,,,,NA NA,Benthos;  Organic matter;  Sediment;  Taiwan,10.1080/02757549808037623,Article,,Taylor and Francis Ltd.,Chemistry and Ecology,0,14-15,scopus,,,A
1998.0,Chem. Ecol.,Study on the hydraulic characteristics of Taichung Harbour in Taiwan,Tseng Z;Chou H;Juang J,"For this study, field measurements of current profiles, buoy trajectories and the lag of two tidal stations were performed to explore the flow characteristics of Taichung Harbour. In order to distinguish the effects of wind drift current on circulation inside Taichung Harbour, field surveys during both summer and monsoon (winter) season were completed separately. The speed of the drift current was about 3.5% that of the wind speed, based on the field data. The horizontal dispersion coefficients were close to Bowden's (1965) formula for the tidal current. The water temperature showed a two-layer profile, with the mixing thickness about 4 to 6 metres for the upper layer. The corresponding Richardson number was about 70. The tidal lag between the two tidal stations was 9.68 minutes. All the results agree well with the theoretical results.","Inst. of Harbour and Mar. Technology, Taichung 435, Taiwan; Department of Civil Engineering, National Central University, Chung-Li 320, Taiwan",TAIWAN;TAIWAN,TAIWAN,TAIWAN,3,1.0,,"Tseng, Z.M.; Inst. of Harbour and Mar. Technology, Taichung 435, Taiwan",,NA NA,Dispersion coefficient;  Drogue tracking;  Tidal lag,10.1080/02757549808037631,Article,,Taylor and Francis Ltd.,Chemistry and Ecology,0,14-15,scopus,INST. OF HARBOUR AND MAR. TECHNOLOGY;NATIONAL CENTRAL UNIVERSITY,INST. OF HARBOUR AND MAR. TECHNOLOGY,A
1999.0,Chem. Ecol.,Heavy metals in fish tissues and different species of fish from the southern coast of Taiwan,Hung T;Huang C;Meng P;Chuang A;Wu S,"Heavy metal contents varied with different species of demersal fishes (such as Megalops cyprinoides, Pseudorhombus dupliciocellatus, Sillago sihama, Acanthopagrus australis, Terapon jarbua, Acanthopagrus latus, Cephalopholis miniata, Lutjanus bohar, Scarus forsteni, and Siganus guttotus) and pelagic fishes (Sphyraena jello and Sphyraena forsteri) caught from the southwestern (Erhjin Chi, a seriously polluted area) and southeastern (Green Island, a relatively unpolluted area) coast of Taiwan in August of 1997 and February of 1998. The orders of heavy metal concentrations (dry weight) in demersal fishes were: copper (over 100 μg g-1), T. jarbua ≥ A. australis &gt; M. cyprinoides &gt; P. dupliciocellatus; zinc (over 500 μg g-1), L. bohar &gt; T. jarbua &gt; P. dupliciocellatus &gt; S. sihama; lead (over 4 μg g-1), P. dupliciocellatus &gt; S. guttotus; nickel (over 5 μg g-1), S. guttotus &gt; S. sihama; chromium (over 20 μg g-1), P. dupliciocellatus &gt; L. bohar &gt; T. jarbua; arsenic (over 1 μg g-1), A. australis &gt; M. cyprinoides; tin (over 3 μg g-1), L. bohar. For the pelagic fishes, high values of nickel and chromium were found in S. jello. Higher concentrations of heavy metals were generally observed in livers compared with those in gills, guts, eggs and flesh of demersal fish. Significant correlations were also obtained between heavy metal contents in fish and fish livers. The seasonal and regional variations as well as their impact on sedimentary heavy metal concentrations are evaluated and discussed. © 1999 OPA (Overseas Publishers Association) N.V. Published by license under the Gordon and Breach Science Publishers imprint.","Institute of Chemistry, Academia Sinica, Taipei, Taiwan; Institute of Oceanography, National Taiwan University, Taipei, Taiwan",TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,5,1.0,,"Hung, T.-C.; Institute of Chemistry, , Taipei, Taiwan","National Science CouncilNational Science Council, NSC, NSC86-262 1- B-002A-00 1Z, NSC87-262 1-B-002A-0012","We are grateful to Dr. Woei-Lih Jeng of Institute of Oceanography, National Taiwan University for his critical review of the manuscript. This research was supported by the National Science Council, under grants NSC86-262 1- B-002A-00 1Z and NSC87-262 1-B-002A-0012. NA",Correlation coefficients;  Demersal and pelagic fish;  Heavy metals;  Seasonal and regional variations;  Taiwan,10.1080/02757549908037653,Article,,Taylor and Francis Ltd.,Chemistry and Ecology,7,16,scopus,INSTITUTE OF CHEMISTRY;NATIONAL TAIWAN UNIVERSITY,INSTITUTE OF CHEMISTRY,A
2000.0,Chem. Ecol.,Species of trace metals organic residues and humic substances in sediments from the Taiwan Erhjin river and coastal areas,Hung T;Meng P;Chuang A,"Total organic carbon, humic substances, and the species of trace metals (including Cu, Zn, Pb, Cd, Cr, Mn and Fe) in six and seven phases, such as bioexchangeable (P1), skeletal (carbonates, P2), easily reducible (Fe and Mn oxides, P3), moderately reducible (crystalline Mn oxides, P4), organic matters with sulphides (P5), and detritus with minerals (P6) as well as organic with humic substances (PB4) and organic residues (PB6), were analyzed in sediments from the Taiwan Erhjin coastal (including river and estuarine) area, where places we found the copper pollution. Results indicate that higher percentages of P1 and P2 for copper, zinc, lead, cadmium and manganese in samples collected in March and September of 1990 were much higher than those in P3 - P6. High percentages of chromium and iron in samples respectively collected in March and September of 1990 were found in P6. For the seven phase analysis, higher percentages of copper species in PB4 and PB6 as well as iron species in PB7 were observed. On the other hand, purified humic acid with the high contents of manganese and iron in humic acid as well as purified fulvic acids were generally found at the upstream stations; and low values at coastal stations. However, extremely high copper (as high as 1750 μg g-1, dry weight in fulvic acid and 820 μg g-1 in humic acid) and lead (821 μg g-1 in humic acid) concentrations with relatively high manganese and iron concentrations were observed in humic substances from the station near the copper recycling area. Comparing the results obtained from the Antarctic Ocean sediments with those from the Taiwan Erhjin Chi coastal sediments, the human impacts on the latter are evaluated.","Institute of Oceanography, National Taiwan University, Taipei, Taiwan; Institute of Chemistry, Academia Sinica, Taipei, Taiwan",TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,3,1.0,,"Hung, T.-C.; Institute of Oceanography, , Taipei, Taiwan; 電子郵件: tchung@chem.sinica.edu.tw",,NA NA,Humic and fulvic acids;  Taiwan Erhjin Chi coastal sediments;  Total organic carbon;  Trace metal species;  Trace metals,10.1080/02757540008037673,Article,coastal sediment;  fluvial deposit;  fulvic acid;  humic substance;  organic matter;  trace metal; Erhjin River;  Taiwan,Gordon and Breach Science Publishers,Chemistry and Ecology,0,17,scopus,NATIONAL TAIWAN UNIVERSITY;INSTITUTE OF CHEMISTRY,INSTITUTE OF OCEANOGRAPHY,A
2013.0,Chem. Ecol.,Distribution enrichment accumulation and potential ecological risks of mercury in the sediments of Kaohsiung Harbor Taiwan,Dong C;Chen C;Chen C,"The distribution, enrichment, accumulation and potential ecological risks of mercury (Hg) in the surface sediments of Kaohsiung Harbor, Taiwan, were investigated. Sediment samples from 20 locations throughout Kaohsiung Harbor were collected quarterly from 2006 to 2011, and characterised for mercury, aluminium, water content, organic matter, total nitrogen, total phosphorous, total grease and grain size. The results showed that Hg concentrations varied from 0.06-6.73 mg kg-1 with an average of 0.54±0.71 mg kg-1. The spatial distribution of Hg reveals that the Hg concentration is relatively higher in the river mouth regions, especially at the Love River and Canon River mouths from where it gradually diminishes toward the harbour entrance region. The results from the enrichment factor and geo-accumulation index analyses reveal that the sediments near the Love River and Canon River mouths experience severe enrichment and strong accumulation of Hg that originates from upstream sources of pollution. The assessment of biological effects indicates that concentrations of 92.5% Hg found in the sediment are higher than effects range low, implying that the harbour sediments may cause an adverse impact on aquatic lives. The results of a potential ecological risk index indicate that the sediment has higher to serious levels of ecological potential risks. © 2013 Taylor &amp; Francis.","Department of Marine Environmental Engineering, National Kaohsiung Marine University, Kaohsiung 81157, Taiwan",TAIWAN,TAIWAN,TAIWAN,3,1.0,,"Chen, C.-W.; Department of Marine Environmental Engineering, , Kaohsiung 81157, Taiwan; 電子郵件: cwchen@mail.nkmu.edu.tw",,"This research was supported by the Kaohsiung Harbor Bureau, Taiwan. The authors would like to thank the personnel of the Kaohsiung Harbor Bureau for their support throughout this project. NA NA",accumulation;  ecological risk;  enrichment;  mercury;  sediment,10.1080/02757540.2013.817564,Article,aluminum;  bioaccumulation;  coastal sediment;  concentration (composition);  enrichment;  fluvial deposit;  geoaccumulation index;  grain size;  harbor;  mercury (element);  nitrogen;  organic matter;  phosphorus;  sediment chemistry;  spatial distribution;  water content; Kaohsiung;  Taiwan,,Chemistry and Ecology,11,29,scopus,NATIONAL KAOHSIUNG MARINE UNIVERSITY,DEPARTMENT OF MARINE ENVIRONMENTAL ENGINEERING,A
2013.0,Chem. Ecol.,Temporal variability in atmospheric Hg released from natural and anthropogenic sources in central Taiwan,Fang G;Chang C,"From September 2011 to February 2012, ambient air particulate and particulate-bound mercury [Hg(p)] concentrations were measured, together with dry deposition using a cold vapor atomic fluorescence spectrometry (CVAFS) analyser, at two characteristic sampling sites in central Taiwan. Results from the sampling site at Westin Park indicated that the lowest particulate dry deposition and lowest average particulate concentrations in total suspended particles (TSP) occurred in September (29.70±7.47 μ g m-2×min) and February (34.38±13.60 ng m-3), respectively. Moreover, results from the Gung-Ming junior high school (airport) site, showed that the highest average particulate dry deposition and average highest particulate concentrations in TSP occurred in February (156.76±30.36 μ g m-2×min) and January (125.49±9.51 ng m-3), respectively, during the winter. The Dragon Steel Plant and Han-Shian Aerospace Industrial Development Corporation were both nearby. These factors led to the high Hg(p) concentrations at Taichung Airport (TA) compared with Westin Park. Local large suspended particulates from heavy traffic were the main reason for the high average Hg(p) deposition at Westin Park compared with TA in this study. © 2013 Copyright Taylor and Francis Group, LLC.","Department of Safety, Health and Environmental Engineering, HungKuang University, Taichung, Taiwan",TAIWAN,TAIWAN,TAIWAN,2,1.0,,"Fang, G.-C.; Department of Safety, Health and Environmental Engineering, , Taichung, Taiwan; 電子郵件: gcfang@sunrise.hk.edu.tw",,The authors gratefully acknowledge the National Science Council of the R.O.C. (Taiwan) for financial support under project No. NSC 99-2221-E-241-006-MY3. NA NA,CVAFS;  dry deposition;  particle-bound mercury Hg(p);  Taichung Airport;  TSP;  Westin Park,10.1080/02757540.2012.717620,Article,anthropogenic source;  atmospheric pollution;  concentration (composition);  dry deposition;  mercury (element);  suspended particulate matter;  temporal variation; Taichung;  Taiwan,,Chemistry and Ecology,0,29,scopus,HUNGKUANG UNIVERSITY,HEALTH AND ENVIRONMENTAL ENGINEERING,A
1985.0,Chem. Geol.,CHEMICAL CHARACTERISTICS OF THERMAL WATERS IN THE CENTRAL RANGE OF TAIWAN ROC,CHEN C,,,,,TAIWAN,1,,0.0,"CHEN, CH (corresponding author), MINIST ECON AFFAIRS,CENT GEOL SURVEY,TAIPEI,TAIWAN.",,,,10.1016/0009-2541(85)90163-9,Article,,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,12,49,ISI,,CH (CORRESPONDING AUTHOR),B1
1988.0,Chem. Geol.,GEOCHEMICAL AND ISOTOPIC STUDIES OF BAUXITIZATION IN THE TATUN VOLCANIC AREA NORTHERN TAIWAN,CHEN C;LIU K;SHIEH Y,,"NATL TAIWAN UNIV,INST OCEANOG,TAIPEI,TAIWAN.; PURDUE UNIV,DEPT EARTH & ATMOSPHER SCI,W LAFAYETTE,IN 47907.;",TAIWAN,TAIWAN,TAIWAN,3,1.0,1.0,"CHEN, CH (corresponding author), ACAD SINICA,INST EARTH SCI,TAIPEI 115,TAIWAN.",,,,10.1016/0009-2541(88)90085-X,Article,,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,23,68,ISI,NATL TAIWAN UNIV;PURDUE UNIV,INST EARTH SCI,B2
1990.0,Chem. Geol.,A STABLEISOTOPE STUDY OF THE HYDROTHERMAL ALTERATION OF THE EAST TAIWAN OPHIOLITE,YUI T;JENG R,"The East Taiwan Ophiolite (ETO) occurs as allochthonous fragments in the Lichi Melange and has been suggested to have formed at an active ridge-ridge transform fault in a marginal basin. The brecciated plutonic sequence has experienced a pre-brecciation ocean-ridge type high-temperature metamorphism as well as a post-brecciation off-axis type low-temperature metamorphism, whereas the extrusive sequence has been subjected only to an off-axis low-temperature hydrothermal alteration. Stable-isotopic studies of the ETO show a slightly decreasing trend in oxygen-isotope compositions from basalt through plagiogranite/gabbro to ultramafic rocks. The isotopic compositions of the ETO basalts indicate low-temperature interaction with seawater under variable water/rock ratios. The amphiboles from the ETO gabbro show low delta-O-18- (i.e. + 3.1 to + 3.8-parts-per-thousand) and high delta-D- (i.e. - 19 to - 9-parts-per-thousand) values. This is interpreted as having resulted from high-temperature interaction with seawater-derived hydrothermal fluid. The plagioclase in the gabbro is mostly albitic in composition and exhibits very high delta-O-18-values (i.e. > + 12.0-parts-per thousand), which may have resulted from low-temperature reaction with O-18-enriched fluid. Such O-18-enriched fluid may have been derived from a high-temperature seawater-plutonic rock interaction system. The antigorite- and lizardite/chrysotile-serpentinites in the ETO formed in oceanic environments under pre- and post-brecciation metamorphic conditions, respectively. The isotopic compositions of the antigorite are compatible with its formation in an oceanic environment. Although the delta-O-18-values of the lizardites/chrysolites are comparable to those of oceanic serpentines, their delta-D-values, ranging from -91 to 57-parts-per-thousand, are too low to be accounted for by reaction sea-water-derived fluid. Post-formation hydrogen-isotope exchange between the lizardite/chrysotile and local meteoric waters during/after on-land emplacement of the serpentinites is postulated as a probable explanation. Calcite veins are ubiquitous in the ETO. Three carbon sources are identified: inorganic seawater carbon, juvenile carbon and organic carbon. In the last case, it is shown that some calcite veins may contain a substantial amount of CO2 derived from the CH4 oxidation process. The organic carbon was most likely derived from organics in the surrounding Lichi mudstone. Therefore, the calcite veins with an organic carbon signature are suggested to have formed after the ETO emplacement within the Lichi Melange.","CENT GEOL SURVEY,TAIPEI,TAIWAN.;",TAIWAN,TAIWAN,TAIWAN,2,1.0,1.0,"YUI, TF (corresponding author), ACAD SINICA,INST EARTH SCI,TAIPEI 115,TAIWAN.",,,,10.1016/0009-2541(90)90060-K,Article,MID-OCEAN RIDGES; HYDROGEN ISOTOPE; OXYGEN ISOTOPE; ULTRAMAFIC ROCKS; SUBMARINE BASALTS; CARBON ISOTOPE; METAMORPHISM; SERPENTINIZATION; FRACTIONATION; WATER,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,14,89,ISI,,INST EARTH SCI,B2
1990.0,Chem. Geol.,SMND ISOTOPIC GEOCHEMISTRY OF SEDIMENTS FROM TAIWAN AND IMPLICATIONS FOR THE TECTONIC EVOLUTION OF SOUTHEAST CHINA,CHEN C;JAHN B;LEE T;CHEN C;CORNICHET J,,"UNIV REIMS,INST GEOL,CNRS,CTR AMORICAIN ETUD STRUCT SOCLES,F-51100 REIMS,FRANCE.; MOTA,CENT GEOL SURVEY,TAIPEI,TAIWAN.;",FRANCE;TAIWAN,FRANCE,TAIWAN,5,2.0,1.0,"CHEN, CH (corresponding author), ACAD SINICA,INST EARTH SCI,TAIPEI 115,TAIWAN.",,,,10.1016/0009-2541(90)90096-P,Article,,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,64,88,ISI,UNIV REIMS,INST EARTH SCI,B2
1993.0,Chem. Geol.,STABLE ISOTOPE SYSTEMATICS OF ARGILLITE SLATE FROM A DEEP WELL IN THE CHINGSHUI GEOTHERMALFIELD TAIWAN,YUI T;LIU K;SHIEH Y,"The Chingshui geothermal field is located in the submetamorphic terrain of Taiwan. The area is mainly underlain by argillite and slate, with minor amounts of metasandstone of Miocene age. The oxygen isotope compositions of argillite and slate cuttings from the deep (3000 m) well No. 16 in this geothermal field were analyzed. Although the rock samples do not show significant alteration under the microscope, the delta-O-18-values show a systematic change from +14.6 to +11.7 parts per thousand with increasing depth. Combined with early published stable isotopic data for geothermal waters and carbonates from the same area, it is shown that the rocks in this field have undergone an increasing degree of O-isotope exchange with the geothermal waters at progressively higher temperatures (i.e. greater depth). The water/rock ratios in such a water-rock interaction system were estimated to be lower than 0.58. Such low values may be due to the very low permeability of the rocks.","PURDUE UNIV,DEPT EARTH & ATMOSPHER SCI,W LAFAYETTE,IN 47907.; NATL TAIWAN UNIV,INST OCEANOG,TAIPEI,TAIWAN.;",TAIWAN,TAIWAN,TAIWAN,3,1.0,1.0,"YUI, TF (corresponding author), ACAD SINICA,INST EARTH SCI,POB 23-59,TAIPEI 115,TAIWAN.",,,,10.1016/0009-2541(93)90300-8,Article,OXYGEN ISOTOPE; FRACTIONATION; ZEALAND; ROCKS,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,9,103,ISI,PURDUE UNIV;NATL TAIWAN UNIV,INST EARTH SCI,B2
1993.0,Chem. Geol.,Stable isotope systematics of argilliteslate from a deep well in the Chingshui geothermal field Taiwan,Yui T;Liu K;Shieh Y,"The Chingshui geothermal field is located in the submetamorphic terrain of Taiwan. The area is mainly underlain by argillite and slate, with minor amounts of metasandstone of Miocene age. The oxygen isotope compositions of argillite and slate cuttings from the deep (3000 m) well No. 16 in this geothermal field were analyzed. Although the rock samples do not show significant alteration under the microscope, the δ18O-values show a systematic change from + 14.6 to + 11.7 ‰ with increasing depth. Combined with early published stable isotopic data for geothermal waters and carbonates from the same area, it is shown that the rocks in this field have undergone an increasing degree of O-isotope exchange with the geothermal waters at progressively higher temperatures (i.e. greater depth). The water/rock ratios in such a water-rock interaction system were estimated to be lower than 0.58. Such low values may be due to the very low permeability of the rocks. © 1993.","Institute of Earth Sciences, Academia Sinica, P.O. Box 23-59, Taipei, Taiwan; Institute of Oceanography, National Taiwan University, Taipei, Taiwan; Department of Earth and Atmospheric Sciences, Purdue University, West Lafayette, IN 47907, United States",TAIWAN;TAIWAN;TAIWAN;USA,TAIWAN,TAIWAN,3,1.0,,"Yui, T.-F.; Institute of Earth Sciences, Academia Sinica, P.O. Box 23-59, Taipei, Taiwan",,NA NA,,10.1016/0009-2541(93)90300-8,Article,geothermal fluid;  geothermal system;  isotopic composition;  oxygen;  wall rock; Taiwan; Chingshui,,Chemical Geology,8,103,scopus,INSTITUTE OF EARTH SCIENCES;NATIONAL TAIWAN UNIVERSITY;PURDUE UNIVERSITY,INSTITUTE OF EARTH SCIENCES,R
1994.0,Chem. Geol.,An assessment of 40Ar39Ar dating for the wholerock volcanic samples from the Luzon Arc near Taiwan,Lo C;Onstott T;Chen C;Lee T,"From electron microprobe, petrographic and image analyses of samples from the northern tip of the Luzon Arc, the effects of various alteration reactions, phenocryst and groundmass assemblages on the whole-rock 40Ar39Ar step-heating spectra have been delineated. The alteration of primary hornblende to an assemblage of zoisite+chlorite+sphene, the palagonitization of glass and the crystallization of phillipsite tends to cause discordant 40Ar39Ar dates in the low-temperature steps of the age spectra. Discordant 40Ar39Ar dates in the high-temperature steps appear to result from degassing of inherited or trapped 40Ar from coarse-grained phenocrysts. Samples in which most of the K resides in groundmass plagioclase tend to yield meaningful plateau dates, whereas samples in which most of the K resides primarily in palagonitized glass tend to yield meaningless plateau and isochron dates. Substantial loss of 39Ar (13-40%) occurred from irradiated samples prior to 40Ar39Ar step-heating analysis, which appears to be correlated with the abundance of groundmass and the degree of alteration. This argon loss is attributed to thermally-induced argon diffusion from the fine-grained groundmass plagioclase, glass and alteration phases during the pre-step-heating bakeout. © 1994.","Department of Geological and Geophysical Sciences, Princeton University, Princeton, NJ 08544, United States; Institute of Earth Sciences, Academia Sinica, P.O. Box 23-59, Taipei, Taiwan",USA;TAIWAN,USA,USA,4,2.0,1.0,"Lo, C.-H.; Department of Geological and Geophysical Sciences, Princeton University, Princeton, NJ 08544, United States","National Science FoundationNational Science Foundation, NSF, EAR84-51696 American Chemical SocietyAmerican Chemical Society, ACS American Chemical Society Petroleum Research FundAmerican Chemical Society Petroleum Research Fund, ACS PRF, PRF19978-AC2 National Science CouncilNational Science Council, NSC","This research was supported by grants from the Petroleum Research Fund, PRF19978-AC2 (administered by the American Chemical Society) and the NSF PYI program, EAR84-51696 to T.C.O. Additional support came from a fellowship granted by the National Science Council (ROC) to C.-H.L. Special thanks are due to J. Suppe for his constructive advice and review of this manuscript, to S. Swapp for advice with the XRD and EMX, and to M. Price for guidance in operating the image analysis instrumentation. Thanks are also extended to B. Duncan, I. McDougall, N. Lundberg, K. Cashman, J.K.W. Lee and two anonymous reviewers for constructive comments on this paper. NA",,10.1016/0009-2541(94)90049-3,Article,argon-40/argon-39 dating;  discordant date;  plateau date;  volcanic rock; Philippines; Luzon Arc,,Chemical Geology,51,114,scopus,PRINCETON UNIVERSITY;INSTITUTE OF EARTH SCIENCES,PRINCETON UNIVERSITY,B2
1994.0,Chem. Geol.,AN ASSESSMENT OF AR40AR39 DATING FOR THE WHOLEROCK VOLCANIC SAMPLES FROM THE LUZON ARC NEAR TAIWAN,LO C;ONSTOTT T;CHEN C;LEE T,"From electron microprobe, petrographic and image analyses of samples from the northern tip of the Luzon Arc, the effects of various alteration reactions, phenocryst and groundmass assemblages on the whole-rock Ar-40/Ar-39 step-heating spectra have been delineated. The alteration of primary hornblende to an assemblage of zoisite + chlorite + sphene, the palagonitization of glass and the crystallization of phillipsite tends to cause discordant Ar-40/Ar-39 dates in the low-temperature steps of the age spectra. Discordant Ar-40/Ar-39 dates in the high-temperature steps appear to result from degassing of inherited or trapped Ar-40 from coarse-grained phenocrysts. Samples in which most of the K resides in groundmass plagioclase tend to yield meaningful plateau dates, whereas samples in which most of the K resides primarily in palagonitized glass tend to yield meaningless plateau and isochron dates. Substantial loss of Ar-39 (13-40%) occurred from irradiated samples prior to Ar-40/Ar-39 step-heating analysis, which appears to be correlated with the abundance of groundmass and the degree of alteration. This argon loss is attributed to thermally-induced argon diffusion from the fine-grained groundmass plagioclase, glass and alteration phases during the pre-step-heating bakeout.","PRINCETON UNIV,DEPT GEOL & GEOPHYS SCI,PRINCETON,NJ 08544.; ACAD SINICA,INST EARTH SCI,TAIPEI 115,TAIWAN.;",TAIWAN,TAIWAN,,4,1.0,,,,,,10.1016/0009-2541(94)90049-3,Article,IGNEOUS ROCKS; AR-40-AR-39; AGE; DIFFUSION; BIOTITE; GEOCHEMISTRY; PHILIPPINES; XENOLITHS; ERUPTION; BASALTS,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,46,114,ISI,,,R
1994.0,Chem. Geol.,EVIDENCE FOR SUBMARINE WEATHERING FROM METAMORPHOSED WEATHERING PROFILES ON BASALTIC ROCKS TANANAO METAMORPHIC COMPLEX TAIWAN,YUI T;WU T;WANG Y;LO C;LU C,"The metamorphosed paleo-weathering horizon(s) developed on basaltic rocks in the Tananao Metamorphic Complex forms distinct Al-Fe-rich rocks and occurs as two parallel belts, demonstrating its potential as a stratigraphic correlation unit in this structurally complicated metamorphic terrain. These Al-Fe-rich rocks have been metamorphosed under amphibolite-/greenschist-facies conditions, leading to the formation of garnet-chloritoid rocks/chloritoid-rich rocks. The chemical changes along three profiles, from metabasite to garnet-chloritoid rock, show prominent K, Rb, Cs and Ba enrichment, yet, also, a large depletion of other elements if it is assumed that Ti, Zr, Nb, Ta and Hf remained relatively immobile. The REE's, however, behaved non-coherently. These chemical characteristics are attributed to pre-metamorphic processes and are shown to be similar to those observed with submarine weathering of basaltic rocks. In contrast, the chloritoid-rich rocks reveal distinct K, Rb, Cs and Ba depletion. It is suggested that this resulted from subaerial weathering processes. K enrichment is not an uncommon feature in Paleozoic/Precambrian paleosols. The present case study demonstrates that submarine weathering should be considered as a probable cause.","UNIV WESTERN ONTARIO, DEPT GEOL, LONDON N6A 5B7, ON, CANADA.; MOEA, CENT GEOL SURVEY, TAIPEI, TAIWAN.; NATL TAIWAN UNIV, DEPT GEOL, TAIPEI, TAIWAN.;",CANADA;TAIWAN;TAIWAN,CANADA,TAIWAN,5,2.0,1.0,"YUI, TF (corresponding author), ACAD SINICA, INST EARTH SCI, TAIPEI, TAIWAN.",,,,10.1016/0009-2541(94)90176-7,Article,PRECAMBRIAN ATMOSPHERIC COMPOSITION; RARE-EARTH ELEMENTS; ALKALINE-EARTHS; EASTERN ALPS; PALEOSOLS; MOBILITY; FRACTIONATION; GEOCHEMISTRY; RELEVANCE; ENVIRONMENT,ELSEVIER SCIENCE BV,CHEMICAL GEOLOGY,11,118,ISI,UNIV WESTERN ONTARIO;NATL TAIWAN UNIV,INST EARTH SCI,B2
